CLIENT_ID,BANKING_CHANNEL_NAME,INTERACTION_DATE,INTERACTION_TYPE,INTERACTION_ID,ROW_INSERT_DATE
607834045342331,Call center,2021-01-31,Transaction,IFD0TVBD,2021-02-01
356171483220814,Call center,2020-03-25,IVR Options,ZZPQK51F,2020-03-28
236885424739667,Branch,2020-05-31,Withdraw,8MDD4V30,2020-06-04
909743201498022,Financial Advisor,2024-03-11,Financial Advice,KW5NGCX1,2024-03-11
605576281624317,ATM,2022-04-06,Withdraw,KWNNHJ7X,2022-04-10
607834045342331,ATM,2020-09-29,Deposit,FN9XUY41,2020-09-30
766930157140880,Call center,2022-07-02,IVR Options,JH75LXO6,2022-07-05
141542222941829,Branch,2020-10-07,Withdraw,0T0PVN9E,2020-10-10
109891937630845,Call center,2019-09-19,Transaction,W2PCN9T8,2019-09-19
450685582146032,Call center,2024-01-09,IVR Options,11MKFAZZ,2024-01-13
72526651937588,ATM,2019-03-12,Deposit,5KXVF1T2,2019-03-16
987123297556082,Call center,2021-08-20,IVR Options,REN93IIU,2021-08-20
109891937630845,Financial Advisor,2023-12-22,Financial Advice,1ERTJ5PH,2023-12-26
72526651937588,ATM,2022-06-23,Withdraw,9XPSEIMV,2022-06-24
563085185115157,ATM,2018-10-18,Withdraw,ZCCBLSKR,2018-10-22
141542222941829,Financial Advisor,2023-04-22,Financial Advice,3GDPPQ0Y,2023-04-27
909743201498022,Call center,2021-10-21,IVR Options,2DGTFGQ5,2021-10-21
628072475816388,Call center,2025-04-25,Transaction,94874FRH,2025-04-28
331450967899881,Call center,2022-04-02,Transaction,AO72KZ02,2022-04-07
556650697416872,Financial Advisor,2020-02-17,Financial Advice,K8UT0CVS,2020-02-21
934825933589313,Call center,2018-11-25,IVR Options,4CC5O7UU,2018-11-25
299225962793859,Call center,2025-05-16,IVR Options,VS7HZIOY,2025-05-18
628072475816388,Branch,2018-02-08,Withdraw,Q99CHJ75,2018-02-09
770606327769161,Branch,2022-11-30,Withdraw,4ZW9XA3K,2022-12-05
909743201498022,ATM,2019-04-18,Withdraw,60FKHMY4,2019-04-22
866044393174181,Branch,2019-01-14,Withdraw,W3BME9FP,2019-01-19
521456248803055,Call center,2018-11-05,Transaction,8YFBNTPB,2018-11-07
331450967899881,Call center,2020-05-10,IVR Options,YYMU5907,2020-05-11
605576281624317,ATM,2022-08-16,Withdraw,A0L7253J,2022-08-21
909743201498022,Financial Advisor,2023-04-12,Financial Advice,I3QK2IAG,2023-04-14
